172	边	93331	54.9596483551	bian1	side/edge/margin/border/boundary
173	信	93126	55.0663835112	xin4	letter/true/to believe/sign/evidence
174	像	92427	55.1723175176	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
175	斯	92377	55.2781942171	si1	(phonetic)/this
176	机	92248	55.383923065	ji1	machine/opportunity/secret
177	光	92035	55.4894077856	guang1	light/ray/bright
178	次	91803	55.5946266025	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)
179	感	91550	55.6995554467	gan3	to feel/to move/to touch/to affect
180	神	91097	55.8039650908	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
181	却	90928	55.9081810378	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless
182	死	90675	56.0121070121	si3	to die/inpassable/uncrossable/inflexible/rigid
183	理	89426	56.1146014613	li3	reason/logic/science/inner principle or structure
184	名	89125	56.2167509232	ming2	name/(measure word for persons)/place (e.g. among winners)
185	重	89105	56.3188774624	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious
186	四	88911	56.420781651	si4	four/4
187	做	88511	56.5222273848	zuo4	to do/to make/to produce
188	别	87890	56.6229613675	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward
189	叫	87625	56.7233916239	jiao4	to (be) call(ed)
190	王	86821	56.8229003861	wang2	king/Wang (proper name)
191	并	86617	56.9221753364	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with
192	水	86236	57.0210136085	shui3	water/river
193	月	86138	57.1197395592	yue4	moon/month
194	果	85669	57.2179279715	guo3	fruit/result
195	何	85586	57.3160212546	he2	carry/what/how/why/which
196	位	84886	57.4133122417	wei4	position/location/(measure word for persons)/place/seat
197	怎	84772	57.5104725691	zen3	how
198	马	84592	57.607426592	ma3	horse/horse chess piece/Surname
199	常	84202	57.7039336213	chang2	always/ever/often/frequently/common/general/constant
200	觉	82996	57.7990584095	jiao4/jue2	a nap/a sleep, feel/find that/thinking/awake/aware
201	海	82568	57.893692651	hai3	ocean/sea
202	张	82495	57.9882432244	zhang1	(a measure word)/(a surname)/open up
203	少	82409	58.0826952301	shao3/shao4	few/little/lack, young
204	处	81702	58.176336917	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect
205	亲	81699	58.2699751654	qin1/qing4	dear/intimate/parent/relation/closely related, parents-in-law of one's offspring
206	安	81293	58.3631480822	an1	content/calm/still/quiet/to pacify/peace
207	特	80894	58.4558636903	te2/te4	special/unusual/extraordinary, male animal/special (-ly)
208	美	80250	58.5478411862	mei3	America/beautiful
209	呢	79741	58.6392352983	ne/ni2	(question particle), woolen material
210	色	79289	58.7301113565	se4/shai3	color/look/appearance, color/dice
211	原	78980	58.8206332584	yuan2	former/original/primary/raw/level/cause/source
212	直	78665	58.9107941271	zhi2	straight/vertical/frank/directly/straightly/upright
213	望	78173	59.0003910963	wang4	hope/expect/to visit/to gaze (into the distance)/look towards/towards
214	命	77911	59.0896877777	ming4	life/fate
215	由	77622	59.1786532255	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
216	候	77417	59.2673837152	hou4	wait
217	吧	77397	59.3560912822	ba1/ba	(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?
218	让	76784	59.4440962671	rang4	to ask/to let/permit/have (someone do something)/to yield/to allow
219	应	76571	59.5318571249	ying1/ying4	ought, (surname)/to answer/to respond
220	尔	76501	59.6195377531	er3	thus/so/like that/you/thou
221	难	76267	59.7069501852	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold
222	关	75838	59.7938709245	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
223	许	74638	59.8794162995	xu3	to allow/to permit/to praise/(surname)
224	车	74497	59.9648000691	che1/ju1	car/a vehicle/machine/to shape with a lathe, vehicle on land
225	平	74285	60.0499408576	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
226	师	74034	60.1347939658	shi1	a division (milit.)/teacher/master/expert/model
227	民	74011	60.2196207128	min2	the people/nationality/citizen
228	夫	73939	60.3043649379	fu1	porter, husband/man
229	书	73757	60.3889005661	shu1	book/letter
230	新	73746	60.4734235868	xin1	meso- (chem.)/new/newly
231	接	73702	60.5578961775	jie1	to extend/to connect/to receive/to join
232	吗	73493	60.6421292255	ma3/ma	morphine, (question tag)
233	路	73297	60.7261376307	lu4	(surname)/road/path/way
234	利	72945	60.8097425956	li4	advantage/benefit/profit/sharp
235	世	72838	60.8932249239	shi4	life/age/generation/era/world/lifetime
236	比	72229	60.9760092547	bi3/bi4	(particle used for comparison and "-er than")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near
237	放	72041	61.0585781118	fang4	to release/to free/to let go/to put/to place/to let out
238	活	71848	61.1409257644	huo2	to live/alive/living/work/workmanship
239	快	71724	61.2231312961	kuai4	fast/quick/swift
240	总	71505	61.3050858237	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case
241	立	71300	61.3868053933	li4	set up/to stand
242	队	70677	61.4678109194	dui4	squadron/team/group
243	更	70301	61.5483854981	geng1/geng4	to change, more/even more/further/still/still more
244	花	68768	61.6272030487	hua1	flower/blossom/to spend (money, time)/fancy pattern
245	爱	68545	61.7057650108	ai4	to love/affection/to be fond of/to like
246	清	68438	61.7842043362	qing1	clear/distinct/complete/pure
247	五	68269	61.8624499644	wu3	five/5
248	内	68072	61.9404698036	nei4	inside/inner/internal/within/interior
249	金	67964	62.0183658601	jin1	metal/money/gold
250	带	67215	62.0954034599	dai4	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and
251	工	66863	62.1720376195	gong1	work/worker/skill/profession/trade/craft/labor
252	风	66125	62.2478259299	feng1	wind/news/style/custom/manner
253	克	65917	62.3233758439	ke4	gram/subdue/to restrain/to overcome, subdue
254	任	65672	62.3986449543	ren4	to assign/to appoint/office/responsibility
255	至	65597	62.4738281044	zhi4	arrive/most/to/until
256	指	65443	62.5488347494	zhi3	finger/to point/to direct/to indicate
257	往	64207	62.6224247691	wang3/wang4	to go (in a direction)/past/previous/towards, toward/(of a train) bound for
258	入	64148	62.6959471667	ru4	to enter
259	空	64117	62.769434034	kong1/kong4	air/sky/empty/in vain, emptied/leisure
260	德	64012	62.8428005569	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
261	吃	63779	62.9159000299	chi1/ji2	eat/eradicate/destroy/receive, eat, stammer
262	表	63713	62.9889238579	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
